symbol,date,open,high,low,close,day_change,day_change_pct,volume
TATAMOTORS.NS,2025-07-25,701.00,702.45,684.70,687.40,-13.60,-1.94,7271718
TATAMOTORS.NS,2025-07-28,690.70,700.50,681.40,682.90,-7.80,-1.13,7788718
TATAMOTORS.NS,2025-07-29,681.90,694.00,680.60,692.35,10.45,1.53,6239871
TATAMOTORS.NS,2025-07-30,690.00,690.00,665.25,668.45,-21.55,-3.12,18923129
TATAMOTORS.NS,2025-07-31,659.85,673.40,652.35,665.95,6.10,0.92,18721010
TATAPOWER.NS,2025-07-01,406.00,407.80,403.00,406.55,0.55,0.14,3180881
TATAPOWER.NS,2025-07-02,406.55,410.90,404.40,406.65,0.10,0.02,4283041
TATAPOWER.NS,2025-07-03,400.00,403.70,396.60,399.90,-0.10,-0.03,9669274
TATAPOWER.NS,2025-07-04,399.00,403.55,398.50,401.00,2.00,0.50,3432678
TATAPOWER.NS,2025-07-07,401.00,403.55,398.40,401.20,0.20,0.05,6385392
TATAPOWER.NS,2025-07-08,401.20,406.65,397.70,400.85,-0.35,-0.09,5551339
TATAPOWER.NS,2025-07-09,400.85,405.50,398.50,400.65,-0.20,-0.05,4148059
TATAPOWER.NS,2025-07-10,400.65,402.70,397.80,399.90,-0.75,-0.19,4302998
TATAPOWER.NS,2025-07-11,399.05,401.70,395.40,396.85,-2.20,-0.55,6893575
TATAPOWER.NS,2025-07-14,396.85,403.15,395.50,402.55,5.70,1.44,4074490
TATAPOWER.NS,2025-07-15,402.60,405.30,398.85,403.90,1.30,0.32,4286434
TATAPOWER.NS,2025-07-16,403.05,416.75,402.50,414.70,11.65,2.89,13501549
TATAPOWER.NS,2025-07-17,415.00,416.40,411.15,413.45,-1.55,-0.37,6347491
TATAPOWER.NS,2025-07-18,411.00,414.15,406.15,407.90,-3.10,-0.75,4614946
TATAPOWER.NS,2025-07-21,404.00,404.00,395.00,401.85,-2.15,-0.53,7045744
TATAPOWER.NS,2025-07-22,403.75,403.90,398.50,399.15,-4.60,-1.14,3980682
TATAPOWER.NS,2025-07-23,400.10,405.00,399.65,402.50,2.40,0.60,3778869
TATAPOWER.NS,2025-07-24,402.30,403.95,398.70,400.70,-1.60,-0.40,4023200
TATAPOWER.NS,2025-07-25,399.80,401.25,394.30,395.35,-4.45,-1.11,5831294
TATAPOWER.NS,2025-07-28,394.10,403.80,393.50,399.20,5.10,1.29,5758606
TATAPOWER.NS,2025-07-29,397.00,401.60,396.00,399.85,2.85,0.72,5038609
TATAPOWER.NS,2025-07-30,401.50,403.75,397.70,401.35,-0.15,-0.04,5468844
TATAPOWER.NS,2025-07-31,396.70,400.50,396.10,397.75,1.05,0.26,5284070
TATASTEEL.NS,2025-07-01,160.01,160.44,157.73,160.06,0.05,0.03,17823415
TATASTEEL.NS,2025-07-02,160.06,166.15,159.83,165.88,5.82,3.64,63315210
TATASTEEL.NS,2025-07-03,166.00,168.78,165.21,165.91,-0.09,-0.05,60571824
TATASTEEL.NS,2025-07-04,165.91,166.49,162.00,163.01,-2.90,-1.75,22938753
TATASTEEL.NS,2025-07-07,163.00,163.35,160.05,162.40,-0.60,-0.37,17469909
TATASTEEL.NS,2025-07-08,162.45,162.90,161.60,161.97,-0.48,-0.30,11398248
TATASTEEL.NS,2025-07-09,161.95,161.95,157.51,159.00,-2.95,-1.82,29839077
TATASTEEL.NS,2025-07-10,160.00,161.55,159.28,160.66,0.66,0.41,17566887
TATASTEEL.NS,2025-07-11,160.64,161.62,159.32,159.84,-0.80,-0.50,20689511
TATASTEEL.NS,2025-07-14,159.84,161.12,159.30,160.44,0.60,0.38,15152964
